"Majority.protein.IDs","no_mineral_MPLEx_01","no_mineral_MPLEx_02","no_mineral_MPLEx_03","mineral_MPLEx_01","mineral_MPLEx_02","mineral_MPLEx_03"
"tr|K3VBG5|K3VBG5_FUSPC;tr|A0A420TT13|A0A420TT13_FUSOX;tr|A0A420R053|A0A420R053_FUSOX;tr|A0A420P3J1|A0A420P3J1_FUSOX;1034-12760_t_tx1;tr|I1RVU9|I1RVU9_GIBZE;tr|A0A2H3TQC3|A0A2H3TQC3_FUSOX",NA,22.3477495977079,NA,23.1142226789223,22.6196566453985,22.5722967552889
"1034-17604_t_tx1",21.3459740140144,NA,22.9013142287435,25.661855368181,22.8329075507834,23.0937939758709
"1034-17605_t_tx1;tr|A0A2H3TEC6|A0A2H3TEC6_FUSOX;tr|A0A420NGG6|A0A420NGG6_FUSOX;tr|A0A420MP63|A0A420MP63_FUSOX",24.1663702787905,23.0576354807701,24.0569289824053,NA,NA,NA
"tr|A0A2H3SVA7|A0A2H3SVA7_FUSOX;1034-17607_t_tx1",34.4939904500383,34.7061115838926,33.9663588801917,33.7805409688185,33.3564811029135,33.4545170637309
"1034-17610_t_tx1;tr|A0A420RCK9|A0A420RCK9_FUSOX;tr|A0A420MPE8|A0A420MPE8_FUSOX;tr|A0A2H3SUF1|A0A2H3SUF1_FUSOX",28.202581213201,28.4869897751579,27.7580684529445,26.3410541205941,25.6864292359502,25.6195868495252
"1034-3500_t_tx1;tr|A0A420QDE7|A0A420QDE7_FUSOX;tr|A0A2H3TC79|A0A2H3TC79_FUSOX",25.2746724071107,25.3734494330981,22.783056503122,23.6888556932569,NA,24.7340323362302
"tr|A0A2H3TTS7|A0A2H3TTS7_FUSOX;1034-3504_t_tx1;tr|K3VF34|K3VF34_FUSPC;tr|I1RMV1|I1RMV1_GIBZE",24.9527962460249,24.4667804121258,24.4936238284609,24.7991077735012,25.6054765534863,25.1052275146639
"1034-3506_t_tx1;tr|A0A420NG57|A0A420NG57_FUSOX;tr|A0A2H3THR3|A0A2H3THR3_FUSOX;tr|A0A420T647|A0A420T647_FUSOX;tr|A0A420R2M6|A0A420R2M6_FUSOX;tr|K3UKI5|K3UKI5_FUSPC",26.9263288432545,27.3232062540102,26.0460196036374,23.5175631873545,22.8466782502844,25.0799057308754
"tr|A0A420RAM9|A0A420RAM9_FUSOX;tr|A0A420PYJ2|A0A420PYJ2_FUSOX;tr|A0A420MXJ1|A0A420MXJ1_FUSOX;tr|A0A2H3SSV7|A0A2H3SSV7_FUSOX;1037-18322_t_tx1",22.5002293741161,22.5552279692589,NA,24.4584500377497,23.8092768553024,23.5738293491976
"1038-16845_t_tx1;tr|K3VKU4|K3VKU4_FUSPC;tr|A0A420Q7V5|A0A420Q7V5_FUSOX;tr|A0A2H3TDN7|A0A2H3TDN7_FUSOX",26.0118613033608,26.4615114977257,25.7221802321964,27.1200672916211,27.5942439386284,26.5620918300606
"1038-8112_t_tx1",25.3419199746498,25.4007444086331,NA,23.6857168396045,NA,24.5454697937953
"1038-8113_t_tx1",25.4083986398923,26.0381381392788,27.0171100048542,28.3354527890769,27.8996036187867,23.3230294097254
"1039-12513_t_tx1",23.6719694339681,24.2137458938318,24.0490441522804,23.9509535174637,25.3490881744349,24.8959992838376
"1040-17162_t_tx1",29.7745185811261,29.9103056853808,29.6997513365818,27.7515070143638,26.9627354322527,28.8668839192532
